country:ID,:LABEL
Algeria,COUNTRY
Angola,COUNTRY
Benin,COUNTRY
Botswana,COUNTRY
Burkina,COUNTRY
Burundi,COUNTRY
Cameroon,COUNTRY
Cape Verde,COUNTRY
Central African Republic,COUNTRY
Chad,COUNTRY
Comoros,COUNTRY
Congo,COUNTRY
"Congo, Democratic Republic of",COUNTRY
Djibouti,COUNTRY
Egypt,COUNTRY
Equatorial Guinea,COUNTRY
Eritrea,COUNTRY
Ethiopia,COUNTRY
Gabon,COUNTRY
Gambia,COUNTRY
Ghana,COUNTRY
Guinea,COUNTRY
Guinea-Bissau,COUNTRY
Ivory Coast,COUNTRY
Kenya,COUNTRY
Lesotho,COUNTRY
Liberia,COUNTRY
Libya,COUNTRY
Madagascar,COUNTRY
Malawi,COUNTRY
Mali,COUNTRY
Mauritania,COUNTRY
Mauritius,COUNTRY
Morocco,COUNTRY
Mozambique,COUNTRY
Namibia,COUNTRY
Niger,COUNTRY
Nigeria,COUNTRY
Rwanda,COUNTRY
Sao Tome and Principe,COUNTRY
Senegal,COUNTRY
Seychelles,COUNTRY
Sierra Leone,COUNTRY
Somalia,COUNTRY
South Africa,COUNTRY
South Sudan,COUNTRY
Sudan,COUNTRY
Swaziland,COUNTRY
Tanzania,COUNTRY
Togo,COUNTRY
Tunisia,COUNTRY
Uganda,COUNTRY
Zambia,COUNTRY
Zimbabwe,COUNTRY
Afghanistan,COUNTRY
Bahrain,COUNTRY
Bangladesh,COUNTRY
Bhutan,COUNTRY
Brunei,COUNTRY
Burma (Myanmar),COUNTRY
Cambodia,COUNTRY
China,COUNTRY
East Timor,COUNTRY
India,COUNTRY
Indonesia,COUNTRY
Iran,COUNTRY
Iraq,COUNTRY
Israel,COUNTRY
Japan,COUNTRY
Jordan,COUNTRY
Kazakhstan,COUNTRY
"Korea, North",COUNTRY
"Korea, South",COUNTRY
Kuwait,COUNTRY
Kyrgyzstan,COUNTRY
Laos,COUNTRY
Lebanon,COUNTRY
Malaysia,COUNTRY
Maldives,COUNTRY
Mongolia,COUNTRY
Nepal,COUNTRY
Oman,COUNTRY
Pakistan,COUNTRY
Philippines,COUNTRY
Qatar,COUNTRY
Russia,COUNTRY
Saudi Arabia,COUNTRY
Singapore,COUNTRY
Sri Lanka,COUNTRY
Syria,COUNTRY
Tajikistan,COUNTRY
Thailand,COUNTRY
Turkey,COUNTRY
Turkmenistan,COUNTRY
United Arab Emirates,COUNTRY
Uzbekistan,COUNTRY
Vietnam,COUNTRY
Yemen,COUNTRY
Albania,COUNTRY
Andorra,COUNTRY
Armenia,COUNTRY
Austria,COUNTRY
Azerbaijan,COUNTRY
Belarus,COUNTRY
Belgium,COUNTRY
Bosnia and Herzegovina,COUNTRY
Bulgaria,COUNTRY
Croatia,COUNTRY
Cyprus,COUNTRY
CZ,COUNTRY
Denmark,COUNTRY
Estonia,COUNTRY
Finland,COUNTRY
France,COUNTRY
Georgia,COUNTRY
Germany,COUNTRY
Greece,COUNTRY
Hungary,COUNTRY
Iceland,COUNTRY
Ireland,COUNTRY
Italy,COUNTRY
Latvia,COUNTRY
Liechtenstein,COUNTRY
Lithuania,COUNTRY
Luxembourg,COUNTRY
Macedonia,COUNTRY
Malta,COUNTRY
Moldova,COUNTRY
Monaco,COUNTRY
Montenegro,COUNTRY
Netherlands,COUNTRY
Norway,COUNTRY
Poland,COUNTRY
Portugal,COUNTRY
Romania,COUNTRY
San Marino,COUNTRY
Serbia,COUNTRY
Slovakia,COUNTRY
Slovenia,COUNTRY
Spain,COUNTRY
Sweden,COUNTRY
Switzerland,COUNTRY
Ukraine,COUNTRY
United Kingdom,COUNTRY
Vatican City,COUNTRY
Antigua and Barbuda,COUNTRY
Bahamas,COUNTRY
Barbados,COUNTRY
Belize,COUNTRY
Canada,COUNTRY
Costa Rica,COUNTRY
Cuba,COUNTRY
Dominica,COUNTRY
Dominican Republic,COUNTRY
El Salvador,COUNTRY
Grenada,COUNTRY
Guatemala,COUNTRY
Haiti,COUNTRY
Honduras,COUNTRY
Jamaica,COUNTRY
Mexico,COUNTRY
Nicaragua,COUNTRY
Panama,COUNTRY
Saint Kitts and Nevis,COUNTRY
Saint Lucia,COUNTRY
Saint Vincent and the Grenadines,COUNTRY
Trinidad and Tobago,COUNTRY
United States,COUNTRY
Australia,COUNTRY
Fiji,COUNTRY
Kiribati,COUNTRY
Marshall Islands,COUNTRY
Micronesia,COUNTRY
Nauru,COUNTRY
New Zealand,COUNTRY
Palau,COUNTRY
Papua New Guinea,COUNTRY
Samoa,COUNTRY
Solomon Islands,COUNTRY
Tonga,COUNTRY
Tuvalu,COUNTRY
Vanuatu,COUNTRY
Argentina,COUNTRY
Bolivia,COUNTRY
Brazil,COUNTRY
Chile,COUNTRY
Colombia,COUNTRY
Ecuador,COUNTRY
Guyana,COUNTRY
Paraguay,COUNTRY
Peru,COUNTRY
Suriname,COUNTRY
Uruguay,COUNTRY
Venezuela,COUNTRY
Hong Kong,COUNTRY
Hong Kong,COUNTRY
Myanmar,COUNTRY
