company_name:ID,number_laid_off,date_of,percentage_of_company,stage,:LABEL
Tencent,300,2023-02-17,,Post-IPO,COMPANY
DocuSign,680,2023-02-16,0.1,Post-IPO,COMPANY
Pico Interactive,400,2023-02-16,0.2,Acquired,COMPANY
The RealReal,230,2023-02-16,0.07,Post-IPO,COMPANY
Smartsheet,85,2023-02-16,0.03,Post-IPO,COMPANY
Wix,370,2023-02-15,0.06,Post-IPO,COMPANY
ServiceTitan,221,2023-02-15,0.08,Series G,COMPANY
Neon,210,2023-02-15,0.09,Series D,COMPANY
Jellysmack,208,2023-02-15,,Series C,COMPANY
DigitalOcean,200,2023-02-15,0.11,Post-IPO,COMPANY
Sprinklr,100,2023-02-15,0.04,Post-IPO,COMPANY
Betterment,28,2023-02-15,,Series F,COMPANY
CommerceHub,371,2023-02-14,0.31,Acquired,COMPANY
Twilio,1500,2023-02-13,0.17,Post-IPO,COMPANY
Electric,141,2023-02-13,0.25,Series D,COMPANY
PetLove,94,2023-02-13,,Series C,COMPANY
iRobot,85,2023-02-13,0.07,Acquired,COMPANY
Collective Health,54,2023-02-13,,Series F,COMPANY
Magic Eden,22,2023-02-13,,Series B,COMPANY
Moladin,360,2023-02-12,0.11,Series B,COMPANY
TripleLift,100,2023-02-10,0.2,Acquired,COMPANY
TikTok India,40,2023-02-10,,Acquired,COMPANY
Yahoo,1600,2023-02-09,0.2,Acquired,COMPANY
Misfits Market,649,2023-02-09,0.33,Series C,COMPANY
Deliveroo,350,2023-02-09,0.09,Post-IPO,COMPANY
Olive AI,215,2023-02-09,0.35,Series H,COMPANY
GitLab,130,2023-02-09,0.07,Post-IPO,COMPANY
Bark,126,2023-02-09,0.12,Post-IPO,COMPANY
Nomad Health,119,2023-02-09,0.17,Unknown,COMPANY
Veriff,66,2023-02-09,0.12,Series C,COMPANY
REE Automotive,31,2023-02-09,0.11,Post-IPO,COMPANY
GoDaddy,530,2023-02-08,0.08,Post-IPO,COMPANY
Affirm,500,2023-02-08,0.19,Post-IPO,COMPANY
Gusto,126,2023-02-08,0.05,Series E,COMPANY
