:START_ID,:END_ID,:TYPE
Tencent,Consumer,SECTOR
DocuSign,Sales,SECTOR
Pico Interactive,Other,SECTOR
The RealReal,Retail,SECTOR
Smartsheet,Other,SECTOR
Wix,Marketing,SECTOR
ServiceTitan,Sales,SECTOR
Neon,Finance,SECTOR
Jellysmack,Media,SECTOR
DigitalOcean,Infrastructure,SECTOR
Sprinklr,Support,SECTOR
Betterment,Finance,SECTOR
CommerceHub,Retail,SECTOR
Twilio,Other,SECTOR
Electric,Other,SECTOR
PetLove,Retail,SECTOR
iRobot,Consumer,SECTOR
Collective Health,Healthcare,SECTOR
Magic Eden,Crypto,SECTOR
Moladin,Transportation,SECTOR
TripleLift,Marketing,SECTOR
TikTok India,Consumer,SECTOR
Yahoo,Consumer,SECTOR
Misfits Market,Food,SECTOR
Deliveroo,Food,SECTOR
Olive AI,Healthcare,SECTOR
GitLab,Product,SECTOR
Bark,Retail,SECTOR
Nomad Health,Healthcare,SECTOR
Veriff,Security,SECTOR
REE Automotive,Transportation,SECTOR
GoDaddy,Marketing,SECTOR
Affirm,Finance,SECTOR
Gusto,HR,SECTOR
Gong,Sales,SECTOR
Beam Benefits,Healthcare,SECTOR
Equitybee,Finance,SECTOR
Zoom,Other,SECTOR
eBay,Retail,SECTOR
SecureWorks,Security,SECTOR
Salesloft,Sales,SECTOR
Openpay,Finance,SECTOR
LearnUpon,Education,SECTOR
Dell,Hardware,SECTOR
Loggi,Logistics,SECTOR
Catch.com.au,Retail,SECTOR
VinFast US,Transportation,SECTOR
Drift,Marketing,SECTOR
Pocket Aces,Media,SECTOR
Clari,Sales,SECTOR
Kyruus,Healthcare,SECTOR
Lightico,Finance,SECTOR
FarEye,Logistics,SECTOR
Protocol Labs,Crypto,SECTOR
Byju's,Education,SECTOR
Okta,Security,SECTOR
Autodesk,Other,SECTOR
Mindstrong,Healthcare,SECTOR
NCC Group,Security,SECTOR
Miro,Other,SECTOR
Getir,Food,SECTOR
Highspot,Sales,SECTOR
Bittrex,Crypto,SECTOR
Snowplow,Data,SECTOR
Articulate,Education,SECTOR
Splunk,Data,SECTOR
Pinterest,Consumer,SECTOR
DraftKings,Consumer,SECTOR
Cyren,Security,SECTOR
Workato,Other,SECTOR
VerticalScope,Media,SECTOR
Wheel,Healthcare,SECTOR
Chainalysis,Crypto,SECTOR
Exterro,Legal,SECTOR
TheSkimm,Media,SECTOR
PayPal,Finance,SECTOR
NetApp,Data,SECTOR
Workday,HR,SECTOR
HubSpot,Marketing,SECTOR
Upstart,Finance,SECTOR
Software AG,Data,SECTOR
Wish,Retail,SECTOR
Wefox,Finance,SECTOR
Tilting Point,Consumer,SECTOR
Gokada,Transportation,SECTOR
AU10TIX,Security,SECTOR
Philips,Healthcare,SECTOR
OLX Group,Marketing,SECTOR
Arrival,Transportation,SECTOR
Groupon,Retail,SECTOR
Intel,Hardware,SECTOR
Glovo,Food,SECTOR
Delivery Hero,Food,SECTOR
Impossible Foods copy,Food,SECTOR
Chrono24,Retail,SECTOR
Me Poupe,Finance,SECTOR
CoinTracker,Crypto,SECTOR
SSense,Retail,SECTOR
DealShare,Retail,SECTOR
Ruggable,Retail,SECTOR
Synopsys,Other,SECTOR
Heycar,Transportation,SECTOR
Matrixport,Crypto,SECTOR
Shakepay,Crypto,SECTOR
#Paid,Marketing,SECTOR
SAP,Other,SECTOR
Confluent,Data,SECTOR
IBM,Hardware,SECTOR
Lam Research,Hardware,SECTOR
Shutterfly,Retail,SECTOR
Luno,Crypto,SECTOR
Clear Capital,Real Estate,SECTOR
Guardant Health,Healthcare,SECTOR
SirionLabs,Legal,SECTOR
Tier Mobility,Transportation,SECTOR
Vacasa,Travel,SECTOR
Innovaccer,Healthcare,SECTOR
Bolt,Finance,SECTOR
PartnerStack,Sales,SECTOR
Gitpod,Product,SECTOR
OFFOR Health,Healthcare,SECTOR
Venngage,Marketing,SECTOR
Spotify,Media,SECTOR
Uber Freight,Logistics,SECTOR
Inmobi,Marketing,SECTOR
Innovid,Marketing,SECTOR
Booktopia,Retail,SECTOR
Ermetic,Security,SECTOR
Namogoo,Marketing,SECTOR
Google,Consumer,SECTOR
Wayfair,Retail,SECTOR
Swiggy,Food,SECTOR
MediBuddy,Healthcare,SECTOR
Vox Media,Media,SECTOR
BitTorrent,Infrastructure,SECTOR
Karat,HR,SECTOR
Enjoei,Retail,SECTOR
Edifecs,Healthcare,SECTOR
Citrine Informatics,Data,SECTOR
Capital One,Finance,SECTOR
WeWork ,Real Estate,SECTOR
Hubilo,Other,SECTOR
Saks.com,Retail,SECTOR
CS Disco,Legal,SECTOR
Riot Games,Consumer,SECTOR
Hydrow,Fitness,SECTOR
Microsoft,Other,SECTOR
Sophos,Security,SECTOR
Teladoc Health,Healthcare,SECTOR
Vroom,Transportation,SECTOR
8x8,Support,SECTOR
Pagaya,Finance,SECTOR
Benevity,Other,SECTOR
Inspirato,Travel,SECTOR
Jumpcloud,Security,SECTOR
nCino,Finance,SECTOR
Starry,Other,SECTOR
Hootsuite,Marketing,SECTOR
Clue,Healthcare,SECTOR
Addepar,Finance,SECTOR
Lightspeed Commerce,Retail,SECTOR
Unity,Other,SECTOR
Britishvolt,Transportation,SECTOR
Clutch,Transportation,SECTOR
Exotel,Support,SECTOR
Unico,Other,SECTOR
Tul,Construction,SECTOR
American Robotics,Other,SECTOR
Luxury Presence,Real Estate,SECTOR
RingCentral,Other,SECTOR
PagBank,Finance,SECTOR
ShareChat,Consumer,SECTOR
Gramophone,Food,SECTOR
ClearCo,Finance,SECTOR
Captain Fresh ,Food,SECTOR
Snappy,Marketing,SECTOR
BharatAgri,Food,SECTOR
Black Shark,Hardware,SECTOR
Ola,Transportation,SECTOR
Bonterra ,Other,SECTOR
Vial,Healthcare,SECTOR
Lending Club,Finance,SECTOR
SmartNews,Media,SECTOR
Skit.ai,Support,SECTOR
Pier,Finance,SECTOR
Blockchain.com,Crypto,SECTOR
Greenlight,Finance,SECTOR
Cashfree Payments,Finance,SECTOR
Mapbox,Data,SECTOR
Definitive Healthcare,Healthcare,SECTOR
Akili Labs,Healthcare,SECTOR
Career Karma,Education,SECTOR
Flexport,Logistics,SECTOR
Qualtrics,Other,SECTOR
Verily,Healthcare,SECTOR
Tipalti,Finance,SECTOR
Jumio,Security,SECTOR
CoinDCX,Crypto,SECTOR
HashiCorp,Security,SECTOR
Embark,Healthcare,SECTOR
Intrinsic,Other,SECTOR
Citizen,Consumer,SECTOR
Coinbase,Crypto,SECTOR
Informatica,Data,SECTOR
Blend,Finance,SECTOR
Till Payments,Finance,SECTOR
ConsenSys,Crypto,SECTOR
ForeScout,Security,SECTOR
Thinkific,Education,SECTOR
LEAD,Education,SECTOR
Parler,Consumer,SECTOR
GoBolt,Logistics,SECTOR
Relevel,HR,SECTOR
StreamElements,Media,SECTOR
Fate Therapeutics,Healthcare,SECTOR
Minute Media,Media,SECTOR
WalkMe,Other,SECTOR
Huobi,Crypto,SECTOR
Carbon Health,Healthcare,SECTOR
Bounce,Transportation,SECTOR
Cue,Healthcare,SECTOR
SoundHound,Other,SECTOR
Socure,Finance,SECTOR
Genesis,Crypto,SECTOR
Moglix,Retail,SECTOR
Twitter,Consumer,SECTOR
Everlane,Retail,SECTOR
Pecan AI,Data,SECTOR
Personetics,Support,SECTOR
Twine Solutions ,Hardware,SECTOR
UpScalio,Retail,SECTOR
Amazon,Retail,SECTOR
Salesforce,Sales,SECTOR
Astronomer,Data,SECTOR
Kaltura,Media,SECTOR
Augury,Manufacturing,SECTOR
Pegasystems,HR,SECTOR
Uniphore,Support,SECTOR
Harappa,Education,SECTOR
Amdocs,Support,SECTOR
PayU,Finance,SECTOR
Willow,Real Estate,SECTOR
Back Market,Retail,SECTOR
Zoopla,Real Estate,SECTOR
Qualcomm,Hardware,SECTOR
TuSimple,Transportation,SECTOR
Chope,Food,SECTOR
Briza,Finance,SECTOR
Homebot,Real Estate,SECTOR
Tomorrow,Finance,SECTOR
Revelate,Data,SECTOR
BigCommerce,Retail,SECTOR
Freshworks,Support,SECTOR
LeafLink,Other,SECTOR
Workmotion,HR,SECTOR
JD.ID,Retail,SECTOR
GoStudent,Education,SECTOR
Quanergy Systems,Transportation,SECTOR
Headspace,Healthcare,SECTOR
ChowNow,Food,SECTOR
Thumbtack,Consumer,SECTOR
Edgio,Infrastructure,SECTOR
Komodo Health,Healthcare,SECTOR
Viant,Marketing,SECTOR
Pluralsight,Education,SECTOR
Freshly,Food,SECTOR
Balto,Sales,SECTOR
Outschool,Education,SECTOR
Xentral,Product,SECTOR
Playtika,Consumer,SECTOR
Share Now,Transportation,SECTOR
Alice,Healthcare,SECTOR
Primer,Finance,SECTOR
OneFootball,Marketing,SECTOR
C2FO,Finance,SECTOR
Airtable,Product,SECTOR
Swiggy,Food,SECTOR
Glints,HR,SECTOR
Buser,Transportation,SECTOR
BlackLine,Finance,SECTOR
Chrono24,Retail,SECTOR
Otonomo,Transportation,SECTOR
TechTarget,Marketing,SECTOR
Inscripta,Healthcare,SECTOR
CyCognito,Security,SECTOR
Armis,Security,SECTOR
Vedantu,Education,SECTOR
Loft,Real Estate,SECTOR
Plaid,Finance,SECTOR
Motive,Transportation,SECTOR
Recur Forever,Crypto,SECTOR
Relativity,Legal,SECTOR
Voi,Transportation,SECTOR
Integral Ad Science,Marketing,SECTOR
Houzz,Consumer,SECTOR
Grover,Retail,SECTOR
Lev,Real Estate,SECTOR
Lithic,Finance,SECTOR
Doma,Finance,SECTOR
Intel,Hardware,SECTOR
BuzzFeed,Media,SECTOR
Weedmaps,Other,SECTOR
